"单遮眼","hair over one eye one eye covered"
"白毛美少女（其实我想做折纸的）","tobiichi origami, {{{masterpiece}}},{extremely detailed CG unity 8k wallpaper},best quality,Amazing,finely detail,solo,1girl,cinematic lighting,close-up,{{floating hair}},{{Sakura}},outdoors,sky,{{wind}},detailed background,beautiful detailed eyes,Snow-white hair,bright pupils,{{full body}}, Sky blue eyes,dynamic pose,dynamic angle,looking at viewer,white thigh boots,medium breasts,medium breasts,Wedding dress,detailed clothes"
"负面合集","lowres, bad anatomy, bad hands, text,error, missing fngers,extra digt ,fewer digits,cropped, wort quality ,low quality,normal quality, jpeg artifacts,signature,watermark, username, blurry, bad feet"
"魔女之旅","{{{elaina(majo no tabitabi)}}}},{{solo}},{{best quality}},{{masterpiece}},highres,extremely detailed wallpaper,delicate face,beautiful detailed street,beautiful detailed sky,Railing,city,cloud,shadow,{{white hair}},{loose long hair},{ahoge},{{white shirt under black robe}},{white Collared shirt},medium frilled skirt,{{royal blue skirt with white edge}},{blue eyes},beautiful detailed eyes,twist braid,{{bare shoulders}},{{Witch hat}},Pendant on Tip of hat"
"去除文字","written words, script,writing, written language,word,text font,english,alphabet,letter,text"
"奇奇怪怪的反面","lowres, bad anatomy, bad hands, text, error, missing fingers, extra digit, fewer digits, cropped, worst quality, low quality, normal quality, jpeg artifacts, signature, watermark, username, blurry"
"可能是韩国画风？","Exaggerated body proportions, greasy skin, realistic and delicate facial features, sexy body"
"满身浓稠的“牛奶”","cum on face,cum on body,cum on hair,wet clothes"
"画面高质量","{best quality}, {{masterpiece}}, {highres}, original, extremely detailed 8K wallpaper, 1girl, {an extremely delicate and beautiful}"
"白毛红瞳的天使","game_cg,wince,smile,looking_at_viewer,silver_hair,wings,small_breasts,tail,adjusting_thighhigh,sitting"
"馒头大变身","overexposure,{wet clothes},medium breast,solo,{doll},Bare thigh,best quality,highly detailed,masterpiece,ultra-detailed,illustration,(best quality),((masterpiece)), (highres), original, extremely detailed wallpaper,glass tint,{{{super detailed skin}}},{an extremely delicate and beautiful},1 girl,solo,{{milf}},beautiful detailed face,white hair,glossy hair,black eyes,{{tsurime}},pale skin,{medium breasts},small waist,slim legs"
"熊猫兔、头","straight-on,full body,foreshortening,starry sky,flat color,photo (medium) ,loli,long hair,white_hair,red_eyes,closed mouth,standing,outstretched arms,legs apart,gloom (expression) depressed,school uniform,pleated skirt,thighhighs,uwabaki,medium_breasts"
"。。。","masterpiece, best quality, ,lace-up boots,slim legs,closed eyes,intricate detail,detailed manga illustration,nun,kneel,pray,open hands,closed eyes,own hands together,hair ornament,serious,white stocking,one-piece dress,extremely detailed CG unity 8k wallpaper,cross necklace,church,medium_breasts,taut clothes,ahoge,long hair, blue eyes,graphite (medium) ,watercolor (medium), 1girl, white dress, silver hair, angel wings"
"没想好","petite,loli,china dress,kneehighs,bridal gauntlets,twintails,payot,long_hair,thigh strap,hair bow,bowtie,earrings,hair ribbon,hair rings,hairclip,hair flower,hair stick,hairband,overexposure,{wet clothes},medium breast,solo,{doll},Bare thigh,best quality,highly detailed,masterpiece,ultra-detailed,illustration"
"明日方舟水月","{best quality}, 1boyasterpiece}}, {highres}, original, extremely detailed 8K wallpaper, 1boy,Deep blue cap, holding transparent umbrella, Short blue hair,black tights,arknights,Off shoulder transparent raincoat,Pink eyes,comic,cute, shota, Black shorts,Black rain boots,Black belt,:>,Black gloves,Blue fingertip,{an extremely delicate and beautiful}"
"JK女孩","pink hair, loli, school uniform, long hair, glasses, hair ribbon, white stocking, at school"
"八重神子","(((masterpiece))),(((best quality))),((ultra-detailed))((extremely detailed CG)),((8k_wallpaper))((an extremely delicate and beautiful)),dynamic angle,floating, (beautiful detailed eyes),an extremely delicate and beautiful girl,(red moon), starry sky,shine,frills,half closed eyes,red eyes,burning,detailed light,(black_hair),bloom,(((miko))),((hair pink flowers)),{aqua eyes},(((small breast))),((miko)),(long_hair),nube"
"额","on stomach,space,full body,no shoe,anklet,black_thighhighs,open-chest sweater,large_breasts,with lightsaber,suspenders,firearms,long_hair,cat_ears,white hair,seductive smile"
"媽","KMS Friedrich der Groβe (Azur Lane),Absolute realm, big breasts, motherhood,copper light yellow eyes, strangulation, dark black hair, hair covering right eye ,long hair"
"白发红瞳的天使","game_cg,wince,smile,looking_at_viewer,silver_hair,wings,small_breasts,tail,adjusting_thighhigh,sitting"
"无","messy_hair,short_hair,short_ponytail,white_hair/blue_ey,looking at viewer,walk,pants,casual wear,black stocking,lace-up boots,tiny_chest,poster"
"魅魔","from below,{best quality}, {{masterpiece}}, {highres}, original, extremely detailed 8K wallpaper, 1girl, {an extremely delicate and beautiful},portrait,full body,perspective,drop shadow,indoors,highres,abdominal muscles,succubus,blonde hair,evil smileevil grin,spread toes,naughty face,bodystocking,High heeled gift shoes,thigh strap,medium_breasts"
"白毛萝","from below,full body,{best quality}, {{masterpiece}}, {highres}, original, extremely detailed 8K wallpaper, 1girl, {an extremely delicate and beautiful},colorful,loli,azur lane,ponytail,white_hair,red_eyes,standing,blush,embarrassed,no_bra,wedding dress,no shoe,hair bow,Holding the wedding bouquet with both hands,flat_chest,yellow_eyes,black hair,best quality,highres,petite,black string bikini,long_hair,solo,wet,medium_breasts,thigh strap,​ahega​o,torogao,lying on back,presenting armpit,open  legs,orgasm"
"无","masterpiece, best quality, solo, loli, kawaii, adorable girl, bishoujo, kemonomimi_mode, light smile, light blush, head tilt,blue eye"
"和风妹抖装×芙兰二小姐(东方project人物)","blonde hair,pink headset,pink cat ears,long hair,side ponytail,ahoge,hairclip,red eyes,cherry blossoms,little girl,child,purple ribbon,pink and blue kimono,pink kimono,white stockings,machine,leg ribbon,leg ribbon,pink sleeves,furisode,{{flandre scarlet}},leaning to the side, yellow eyes, maid"
"少女","bandage over one eye,long_hair,white_hair,red_eyes,light smile,sideways glance,fighting_stance,legs apart,expressionless,hanfu,hair ribbon,Samurai Sword,small_breasts"
"紫殊","Green hair,Purple gem eyes,Butterfly, sweater, cute, illustration"
".","game_cg,wince,smile,looking_at_viewer,silver_hair,wings,small_breasts,tail,adjusting_thighhigh,sitting,masterpiece, best quality,horns,yanderesmall breasts,witch,fishnets,redhair,Demon,green eye,beauty mark,crotch tattoo,Black clot"
"美女","masterpiece, best quality,horns,yanderesmall breasts,witch,fishnets,redhair,Demon,green eye,beauty mark,crotch tattoo,Black clot"
"小改改","tag：masterpiece, best quality, extremely detailed CG unity 8k wallpaper, 1girl, beautiful purple eyes, wavy silver hair, crying, water eyes, looking at viewers, delicate Gothic evening gown, detailed lace and decorative border, detailed lace glove, detailed jewelry necklace, jewelry earrings, hair flower, snow, fog, violet garden, magnificent palaces, mountains, forests, night, detailed colorful star sky, cinematic lighting, super detLarge depth of field, oil"
"橙子","best quality,highly detailed,masterpiece,ultra-detailed,illustration,wallpaper,1girl,bare shoulders,long bangs,azure hair,bright_eyes,red eyes"
"愚 不 可 及","from below,upper body,out of frame,skyscraper,outdoors,street,solo,white_hair/blue_ey,very_long_hair,looking afar,standing,beautiful detailed eyes,wolf ear fluff,china dress,ribbon,medium_breasts"
"時雨","1girl,shigure(kancolle),blue eyes,black hair,white  skirt, white shirt,black long tie ,small breast,loli,best quality, masterpiece,the beach,the sea"
"长到能拖地的头发(随缘生效)","(very long hair),foot length hair,long hair to the ground"
"乐","game_cg,wince,smile,looking_at_viewer,silver_hair,wings,small_breasts,tail,adjusting_thighhigh,sitting"
"试验","sex,best quality,Amazing,beautiful detailed eyes,1girl,finely detail,Depth of field,full body,white streaked  hair,red eyes,cameltoe,nipples,erect_nipples,five fingers,cold faces,u s-42609455,full body,torii,field,flowers meadows,mature female,young girl,ponytail,bodystocking"
"緊縛(後手縛)+口塞+流汁","{NSFW}, shibari, arms behind back, gag,sex cum"
"幽幽子","Saigyouji yuyuko,very cool girl wearing cyberpunk intricate streetwear, beautiful, detailed portrait, intricate complexity, by krenz cushart, kyoto animation, greg rutkowski, wlop. 4 k, beautiful, cinematic dramatic atmosphere"
"蓝发少女","adult a girl Blue hair blue eyes"
"月夜","loli girl moon night light lake glass"
"无","White hair, long hair, purple pupils, purple eyes, black short sleeves with gold stripes, black short skirts with gold lace, white underwear, girls, giant breasts, silver breastplates, standing, upper body,Show half your chest,A black gold sabre at the waist,HD,One shoulder black cape, eagle badge necklace"
"学生","garter straps garter belt,pleated skirt,school uniform,leather shoes"
"魔女","【P】(best quality), particals, floating sparkles, beautiful detailed face but only eye blurred , finely detailed background, extremely detailed, masterpiece, ilustration, CG unity 8k wallpaper, cinematic lighting but over exposed 【N】black-white, bad anatomy, liquid body, disfigured, mutated, anatomical nonsense, blurry, JPEG artifacts, 3D character,bad proportions, bad shadow, blurred, 1970s style, 1980s style, error, text, ui, error, cropped, watermark, username, signature 【采】DDIM 【步】29 【C】4.5,pink hair, loli, school uniform, long hair, glasses, hair ribbon, white stocking, at school,tobiichi origami, {{{masterpiece}}},{extremely detailed CG unity 8k wallpaper},best quality,Amazing,finely detail,solo,1girl,cinematic lighting,close-up,{{floating hair}},{{Sakura}},outdoors,sky,{{wind}},detailed background,beautiful detailed eyes,Snow-white hair,bright pupils,{{full body}}, Sky blue eyes,dynamic pose,dynamic angle,looking at viewer,white thigh boots,medium breasts,medium breasts,Wedding dress,detailed clothes"
"第一个","Chinese style,symbol-shaped pupils,business suit,full body,solo focus,colored pencil drawing,shota,twins,knife and sword,messy_hair,gradient hair,streaked hair,slut strands,black hair,reaching,surprised,umbrella,thigh strap,hood,small_breasts"
"亲甜滴综合","nsfw, (cum drip), (semen pool), semen drip, cum in breast, spread leg, pussy"
"白毛色萝莉","(best quality), (ultra-detailed), (best illustration),(best shadow), (an extremely delicate and beautiful), dynamic angle, floating, finely detail, ((masterpiece,illustration,highres)), (shine), glinting stars, classic,  (sketch), (forest), palace, (fairyland,feather,flowers, nature),(sunlight),Hazy fog, mist , (a girl, solo, bare shoulders, small_breasts, arms behind back,diamond and glaring eyes, beautiful detailed cold face, very long white_hair), cameltoe, (incontinence), babydoll, (white_thighhighs)"
"金发萝莉","yellow_eyes,yellow hair,best quality,highres,petite,long_hair,solo,wet,medium_breasts,thigh strap,​ahega​o,torogao,presenting armpit,open  legs,orgasm,heart-shaped pupils,naked,heart-shaped pupils"
"自设","{an extremely delicate and beautiful girl},best quality,{{masterpiece}},wallpaper,{extremely detailed wallpaper},sexy face,((((sexy)))),purple skin,huge breast,black stockings,succubus,naughty face,smirk,open your legs wide,(foot focus)lowres, bad anatomy, bad hands, text, error, missing fingers, extra digit, fewer digits, cropped, worst quality, low quality, normal quality, jpeg artifacts, signature, watermark, username, blurry, bad feet,extra limbs,ugly,missing limb,floating limbs,disconnected limbs,mutated hands and fingers,intricate human hands fingers,poorly drawn hands,malformed hands,malformed foots,malformed face,red_hair,white_hair/blue_eyes,hand in own hair,heterochromia,succubus,Perfect female body,huge_breasts,cleavage"
"乐","ellow_eyes,black hair,best quality,highres,petite,black string bikini,long_hair,solo,wet,medium_breasts,thigh strap,ahegao,torogao,lying on back,presenting armpit,open  legs,orgasm"
"少女","Light blue hair, three or seven bangs, a girl, smile, sunshine, classical."
"loli预设","extremely detailed CG unity 8k wallpaper, ((masterpiece)),((best quality)), lovely sweet cute loli, nsfw, small breasts, navel, rape, 1 girl, loli, few tears"
"机甲少女","girl,There is a red reactor on the chest, red clothes, red eyes, red hair and a ponytail."
"小萝莉","{{{1 boy}}}, {{venti (genshin impact)}}, green hat, fried dough twist braid, gradual hair, black hair, white hair flower, green cloak, white stockings, black lady's leather shoes, bloomers, {green shorts}, {waist band}, white collar shirt, {{gold and black bowtie}}负面词条：blush, breast, porn, medium_breasts,large_breasts,huge_breasts,cleavage, high heels 再加上网站自带的nsfw和low quality那些"
"新","White hair, three nothing, girl, bandage,Cherry blossoms,selfiemirror,monochrome,Chinese style,twintails,red_hair/red_eyes,light smile,pleated skirt,flat_chest"
"心","long_hair,lilac_hair/lilac_eyes,light smile,armpits,sitting on the ground,breast hold,anklet,legs apart,pain,heart-shaped pupils,heterochromia,sheer tulle dress,yukata,no_bra,cheongsam,sweet_lolita,kimono,white stocking,no shoe,strappy heels,high heels,tail insertion,bell,cleavage,super hugeness breasts,underboob,gigantic_breasts"
"好的","1girl, nfsw. 1girl, solo, u-446, u-738, missionary. lying. on bed pov from below spread thighs bob cut, steam, body, silver fullbody, high ponytail large breasts standing sex x-ray ejaculation nude, penis grabbing from behind reverse upright straddle black jacket cumonbody"
"。。。","starry sky,clusters of stars,starry sky,glinting stars,glinting stars,gradient hair,long hair,aqua_hair,slit pupils,layered skirt,thigh strap,tassel"
"开心的萝莉","suspender skirt,huge_breasts,tentacle_sex,insertionExtreme expansionstomach protrusion,tentacle_under_clothes,white_hair/blonde_eyes,Skirt lift,breast hold"
"谷子","girl,tiger Ears,Yellow eyes,tiger tail,Brown hair,furry,tigeress,kemono,fur,Short hair,Chinese style clothing,Coffee hair,Golden eyes,loli,1 girl"
"伤心的萝莉","tags:{{{masterpiece}}}, {{{best quality}}}, {{{ultra-detailed}}}, {{{illustration}}}, beautiful detailed eyes, beautiful detailed hair, full body, cute, small breasts, looking at me,white hair,white stockings,bunny girl,bondage"
"萝莉","coat,short_ponytail,tongue out,top-down bottom-up,arm support,white_thighhighs,blush,squinting,lolita fasion,underpants,fishnet pantyhose,no shoes,medium_breasts"
"床上的黑精灵","tall female, dark skin, elf, body hair, white hair, big eyes, bedroom, gigantic breasts,lace-trimmed bra, long legs, lace-trimmed legwear, legwear garter ,lying in bed"
"嘿嘿","large_breasts,no_bra,no underwear,less clothes ,no_panties,garter straps garter belt,white stocking,no shoes,cum,cum in pussy,cum on pussy,cum on body,cum on breasts,cum in mouth,cum on hair,cum in ass,cum on ass,cum on tongue,cum on tongue,cum on feet,cum on legs,cum on armpits,cum in navel,Exhibitionism,large_breasts,knees to chest,long_hair,licking lips,breast hold,Organza lace,maid headdress,tentacle_under_clothes,anime style, big sister, white hair, tied hair, nsfw, nude, tits, pussy, facing slightly right to Camra, slight smile, large breasts, ultra-quality, masturbating pussy, orgasm,cum_in_mouth,Leakage of urine,{{masterpiece}}, illustration,best quality,extremely detailed CG unity 8k wallpaper,{an extremely delicate and beautiful},mature,sole female,{{vampire}},white hair,{{2girls}},tongue, cum on berasts,licking penis,just one penis,pov,nsfw,nipples,blowjob, twintails,babydoll,naked,furry,wolf ear fluff,pink hair,red_eyes,evil smileevil grin,wariza,full body"
"小可爱","long_hair,long hair,right side temple hair,left side temple hair,white hair,white_hair/blonde_eyes,white_hair,looking at viewer,smile,Long skirt,wings,necklace,flat_chest,backlighting"
"糖霜","((masterpiece)), (((masterpiece))),(((best quality))), ((ultra-detailed)), ((illustration)), ((medium hair,)), ((frills)), (1 girl), (solo),  beautiful detailed eyes, overexposure,  expressionless,  (((mediem breasts))), blank stare, white hair, halo, black skirt, white shirt, green eyes, Arknights, gentle, side standing,simple_background,((bare legs)), ((shoes)),(((gun)))"
"红发战士","Red hair,black skin,Warrior, one-handed sword, magical world, red eye"
"一个女孩","super hugeness breasts,Organza lace,Dirndl,ahoge,drill_hair,very_long_hair,cafe,layered skirt,pettiskirt,Dirndl,hair ribbon,garter_belt,slim legs,white_hair"
"第一","very_long_hair,black hair,eye contact,crying,standing,reaching,surprised,aquagradient eyes,hoodie,street wear,socks,sneakers,mittens,ribbon,umbrella,thigh strap,cityscape"
"白毛萝莉","masterpiece, best quality,highly detailed,masterpiece, best quality,highly detailed,white pantyhose,heart-shaped pupils,drooling,legs apart,white_hair,red_eyes,looking down,from below,full body,on bed,extremely detailed CG unity 8k wallpaper,mature female,long_hair,white_hair,red_eyes,seductive smile ,sitting,tying hair,naughty face,gradient eyes,wedding dress,Holding the wedding bouquet with both hands,no shoes,bridal gauntlets,medium_breasts,presenting foot,slim legs,white stocking,{best quality}, {{masterpiece}}, {highres}, original, extremely detailed wallpaper,{{1girl}},big white hat with blue bowtie, necklace,white hair, short hair, yellow eyes,extremely detailed eyes, side-tie , {{revealing_clothes}} , laced dress,white dress,{{{loli}}}, highlight hair, background, sky,garden, half body,medium breasts,{{chibi}},looking_back , naked_r, looking at viewer, light smile,masterpiece, best quality, prompt：{bes"
"嗨嗨嗨","straight-on,dormitory,Perfect female body,long wavy curly hair,white_hair/blonde_eyes,facing viewer,bare shoulders,Skirt lift,standing,presenting panties,big ass,pink_thighhighs,light smile,bikini,uwabaki,huge_breasts"
"高质量","long wavy curly hair,white_hair/blonde_eyes,eye contact,standing,hand in own hair,plantar flexion,serious,slit pupils,untied bikini,no_panties,black stocking,no shoes,gigantic_breasts"
"可爱的jk","High school students,brown hair,fleece,lovely,girl,masterpiece, best quality"
"白发军服少女","Short hair,Prussian blue eyes,Clear details,Left tear nevus,Lolita,model of human body,A young girl,Gray sideburns,Small breasts,sexy lingerie,Immature skin,pillow,In bed,Miniature nipple,Japanese animation style"
"巨乳小萝莉","large_breasts,papilla,anime style, big sister, white hair, tied hair, nsfw, nude, tits, pussy, facing slightly right to Camra, slight smile, large breasts, ultra-quality, masturbating pussy, orgasm,Exhibitionism,large_breasts,knees to chest,long_hair,licking lips,breast hold,Organza lace,maid headdress,tentacle_under_clothes,anime style, big sister, white hair, tied hair, nsfw, nude, tits, pussy, facing slightly right to Camra, slight smile, large breasts, ultra-quality, masturbating pussy, orgasm,cum_in_mouth,Leakage of urine,{{masterpiece}}, illustration,best quality,extremely detailed CG unity 8k wallpaper,{an extremely delicate and beautiful},mature,sole female,{{vampire}},white hair,{{2girls}},tongue,  cum on berasts,licking penis,just one penis,pov,nsfw,nipples,blowjob, twintails,babydoll,Nipples,vagina"
"难过的萝莉","{masterpiece},{{best quality}},official art,{extremely detailed CG unity 8k wallpaper}, in hawaii, comic, 1girl, {solo}, {{mature female}}, {mature}, {milf}{beautiful detailed eyes},{ray tracing},{{detailed manga illustration}},starry sky,clusters of stars,blue_eyes, red hair, looking at viewer,pair of horns,standing,{{detail fingers}},{dynamic pose},{tsurime},hair ribbon,hair bow,cowbell,collar,{horned headwear}, {cow_bikini}, {squirrel ears}, white_thighhighs,high heels,{cow tail},{{medium_breasts}},nature,{Alps},best quality,highly detailed,masterpiece,ultra-detailed,{photorealistic}, NSFW, Erotic_stewardess_uniform, purple hair,green eyes, photogenic, lace_stockings,overexposure,{wet clothes},cinematic_angle,in_plane"
"萝莉","cropped legs  ,library,long wavy curly hair,white_hair/blonde_eyes,looking down,straight-on,solo,facing viewer,Skirt lift,presenting panties,Bare thigh,big ass,licking,beautiful detailed eyes,huge_breasts,Exhibitionism,morbid"
"桐谷和人","Kirigaya Kazuto,black shirt, black cloak decorated with white lines, black short hair, black half finger gloves, black long sword in hand, light blue double-edged sword on the back, round face, black eyes"
"苏州","Anime, beautiful girl, junior high school girl, sense of detail, Suzhou, street, Jiangnan, light shadow, shoulder length short hair, student hat, white canvas bag, black skirt, knitted coat, street lamp, white knee socks, green canvas shoes, osmanthus tree, sunset, correct proportion, pedestrian, self driving, sense of light and shadow, roadside tree, running water, anime"
"？","twintails,cat_ears,tongue,fangs,long_hair,see-through,no underwear,blue and white striped bikini,miniskirt,no shoes,cleavage,super hugeness breasts,medium_breasts,anime style, big sister, white hair, tied hair, nsfw, nude, tits, pussy, facing slightly right to Camra, slight smile, large breasts, ultra-quality, masturbating pussy, orgasm,Leakage of urine,cum_in_mouth,naked,Exhibitionism,large_breasts,knees to chest,long_hair,licking lips,breast hold,Organza lace,maid headdress,tentacle_under_clothes,anime style, big sister, white hair, tied hair, nsfw, nude, tits, pussy, facing slightly right to Camra, slight smile, large breasts, ultra-quality, masturbating pussy, orgasm,cum_in_mouth,Leakage of urine,{{masterpiece}}, illustration,best quality,extremely detailed CG unity 8k wallpaper,{an extremely delicate and beautiful},mature,sole female,{{vampire}},white hair,{{2girls}},tongue,  cum on berasts,licking penis,just one penis,pov,nsfw,nipples,blowjob, twintails,babydoll,Raped Girl,vagina"
"试试","heart-shaped pupils,hidden hands,pair of horns,facing viewer,blush,fang,tears,torn clothes,hair intakes,twintails,cat_ears,white_hair,red_eyes,bare shoulders,spread legs,sitting on the ground,female focus,Maid dress,no_bra,neck ribbon,white_thighhighs,papilla,large_breasts"
"正太","masterpiece, best quality,little boy,shota,angel,white hair,short_ponytail,short hair,crossed bangs,nose blush,beautiful detailed eyes,heterochromia blue red,heart-shaped pupils,barefoot,bare_legs,crop top,halo"
"三角形","lowres, bad anatomy, bad hands, text, error, missing fingers, extra digit, fewer digits, cropped, worst quality, low quality, normal quality, jpeg {{masterpiece}},1 girl,best quality,Stain blood on the body,Yandere,Yandere smiles,artifacts, signature, watermark, username, blurry, bad feet"
"无人的场景","glowing light,beautiful detailed sky,masterpiece,cinematiclighting,depthoffield,beautiful detailed water,ocean,chinese style architecture,no humans,detailed background,alpine"
"小青","facing away,miko,slim waist,virgin,twintails,black_hair/black_eyes,tongue out,jack-o' challenge,ass visible through thighs,boots,tentacle_sex,tentacle_under_clothes"
"堕天使jk","nsfw,Orgasm, tears, ,seminal fluid,cum in mouth,cum in vagina, penis into vagina, white hair,black halo, black and white salior suit,Grey eyes,messy hair,lily,young girl, short hair, rape"
"凯尔希猫猫","masterpiece,best quality, night, intense shadows, game_cg, arknights, 1 girl, solo, white hair, short hair, green eyes, cat ears, hair ears, heart-shaped pupils, ((medium breasts)), kaltsit, arknights, ((tie)), (((see-through))), ((handsome)), elbow gloves, high heels, (garter straps), (stockings), looking at viewer, cityscape, open clothes, bent over, no bra"
"哥特风少女","masterpiece, best quality, dusk, sunset, on the beach, comic, absurdres, wallpaper, girl, loli, nun, absurdly long hair, white hair, low-tied long hair, high ponytail, hair behind ear, red hairband, embarrassed , white eyebrows, heart-shaped pupils, stretch, cape, gothic, barefoot, white thighhighs, white garter straps, lace-trimmed legwear, collar"
"高质量出图（画质改善）","ray tracing,{best quality}, {{masterpiece}}, {highres}, original, extremely detailed 8K wallpaper, {an extremely delicate and beautiful},incredibly_absurdres,colorful,intricate detail,artbook"
"伊利亚？变种","nsfw,Leakage of urine,pov crotch,loli girl moon night light lake glass,lower body,colorful,tachie,petite,infant,{gradient hair},shiny hair,{cat_ears},{white_hair},{{red_eyes}},{{Skirt lift}},sitting on the ground,{presenting panties},{heterochromia},slit pupils,no_panties,thighhighs,barefoot,lace-trimmed_gloves,{vibrator},{tail},flat_chest,beautiful detailed water,vagina,{loli,},{{{{{illyasviel von einzbern}}}}},{{see-through}},{{see-through panties}}"
"。","yellow_eyes,black hair,best quality,highres,petite,black string bikini,long_hair,solo,wet,medium_breasts,thigh strap,​ahega​o,torogao,lying on back,presenting armpit,orgasm"
"女骑士","{masterpiece},{full body},{one girl},{royal elder sister},{medium tits},{silvery long wave shiny hair which have two small side braids},{sapphire eyes with red vertical pupils},{clear hand},expressionless,navel,white ribbons,royal hall,white full-body armor with transparent-crystal Inlay,crystalline heavy chest armor"
"原神,胡桃","The best, highest quality, masterpiece, JK uniform, black hat with a plum blossom, red plum blossom shaped pupils, small chest, sitting on the bed, perfect face"
"兽耳御姐涩涩","black hair, nsfw, tits, pussy, facing slightly right to Camra, medium breasts, ultra-quality, masturbating pussy, orgasm,{{sex}},wolf ear fluff,high ponytail,detail fingers,{Perfect female body},slender waist,linea alba,azur lane,slim waist,{doggy style},detailed manga illustration"
"猫娘","topless male,yaoi,shorts,cat_pose,kneeling,wet,open_clothes,black_collar,bandaid,shota,1boy,aqua_eyes,open_mouth,shy,endured_face,fangs,indoors,{best quality}, {{masterpiece}}, {highres}, original, extremely detailed 8K wallpaper,  {an extremely delicate and beautiful},,{{masterpiece}},1 girl,best quality,Stain blood on the body,Yandere,Yandere smiles,flat_chest,Skirt lift,between legs,pink hair, loli, school uniform, long hair, glasses, hair ribbon, white stocking, at school,tobiichi origami, {{{masterpiece}}},{extremely detailed CG unity 8k wallpaper},best quality,Amazing,finely detail,solo,1girl,cinematic lighting,close-up,{{floating hair}},{{Sakura}},outdoors,sky,{{wind}},detailed background,beautiful detailed eyes,Snow-white hair,bright pupils,{{full body}}, Sky blue eyes,dynamic pose,dynamic angle,looking at viewer,white thigh boots,medium breasts,medium breasts,Wedding dress,detailed clothes,wolf ear fluff,crying,spread fingers,school uniform"
